model_id,requested_model_id,device,actual_dtype,prompt_idx,prompt_text,requested_context_length,effective_context_length,layer_idx,head_idx,sketch_dim,theta,false_elimination_rate,elimination_rate,resurrection_rate,top8_overlap,top16_overlap,top32_overlap,topk_overlap,rank_correlation,rank_corr_sample_size,eliminated_count,false_eliminated_count,total_tokens,survivor_count
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,16,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7023182721648892,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,16,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7023182721648892,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,16,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7023182721648892,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,16,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7023182721648892,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,16,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7023182721648892,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,32,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8644747002328075,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,32,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8644747002328075,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,32,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8644747002328075,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,32,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8644747002328075,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,32,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8644747002328075,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,64,0.05,0.0,0.0,1.0,0.5,0.5,0.4375,0.4375,0.9112771067073762,20000,0,0,512,512
